Year,County,AQI Median
2001-12-31,Shasta,44.0
2001-12-31,Siskiyou,12.5
2001-12-31,Solano,37.0
2001-12-31,Sonoma,36.0
2001-12-31,Stanislaus,50.0
2001-12-31,Sutter,44.0
2001-12-31,Tulare,95.0
2001-12-31,Ventura,61.0
2001-12-31,Yolo,40.0
2002-12-31,Alameda,40.0
2002-12-31,Butte,64.0
2002-12-31,Colusa,41.0
2002-12-31,Contra Costa,43.0
2002-12-31,El Dorado,54.0
2002-12-31,Fresno,126.0
2002-12-31,Glenn,43.0
2002-12-31,Imperial,67.0
2002-12-31,Kern,125.0
2002-12-31,Kings,64.0
2002-12-31,Lake,37.0
2002-12-31,Los Angeles,99.0
2002-12-31,Marin,30.0
2002-12-31,Mendocino,32.0
2002-12-31,Mono,22.0
2002-12-31,Monterey,37.0
2002-12-31,Orange,63.0
2002-12-31,Placer,49.0
2002-12-31,Riverside,101.0
2002-12-31,Sacramento,74.0
2002-12-31,San Benito,42.0
2002-12-31,San Bernardino,90.0
2002-12-31,San Diego,74.0
2002-12-31,San Francisco,35.0
2002-12-31,San Joaquin,46.0
